asset,asset_name,EF_1,EF_2,EF_3,Max_Sharpe,GMV,Risk_Parity,Equal_Weights
SPY,SPDR S&P 500 ETF Trust,0.0,7.58941520739853e-18,2.707403127308174e-18,0.0,1.1055553410422644e-11,0.027244394888281065,0.0625
ISTB,iShares 1-5 Year USD Bond ETF,2.38524477946811e-16,0.1929403251045243,7.904554877531624e-20,0.0,0.9851824799055666,0.5460442471251075,0.0625
IYR,iShares U.S. Real Estate ETF,9.286191607338343e-18,1.8577804225539118e-17,0.0,0.0,1.588336828635905e-07,0.027232135903789614,0.0625
REM,iShares Mortgage Real Estate ETF,0.0,0.0,0.0,0.0,2.1232378473592237e-07,0.02527283133328149,0.0625
GLD,SPDR Gold Shares,0.0,0.2361749585123971,0.0,0.2773860536912214,6.200485150553362e-09,0.11031402998798567,0.0625
CL=F,WTI Crude Oil,0.20671120975877041,0.0,0.0,2.6205605038487036e-13,1.2951879403183468e-07,0.009261819471786096,0.0625
AAPL,Apple Inc.,0.0,0.14612905413486563,0.34321631954440324,0.19820356227476083,1.3955377997778019e-11,0.02265772243745716,0.0625
MSFT,Microsoft Corporation,4.271756559592885e-18,0.1184206158253588,0.2863999923191237,0.1695602063955533,1.1166228109102508e-11,0.02247060080234733,0.0625
JNJ,Johnson & Johnson,2.1422479675597958e-17,1.7780915628762273e-17,0.0,0.0,0.006926436281134112,0.03892889518272993,0.0625
JPM,JPMorgan Chase & Co.,1.2064459674332448e-17,0.0,3.2359749411535397e-18,0.0,0.006235644830232305,0.022668021838062557,0.0625
BA,Boeing Company,1.2918268885164783e-17,8.399856331331445e-18,3.0298641932732054e-18,1.4608121046095184e-13,4.447357936906849e-07,0.015463671334433342,0.0625
NKE,Nike Inc.,2.815130940858612e-17,0.038340675092716596,6.938893903907228e-18,0.04744455854601325,1.3603688296454087e-11,0.025501387916465845,0.0625
AMZN,Amazon.com Inc.,0.0,0.16112785735013194,0.32521073321726646,0.18826019164538293,0.0016547434062527935,0.02578996855812537,0.0625
DB1.DE,Deutsche Börse AG,1.4259969073615595e-17,0.10686651398000567,0.045172954919206365,0.11914542746549481,1.3324265057674284e-08,0.037531767624168835,0.0625
IEMG,iShares Core MSCI EM ETF,0.0,0.0,0.0,1.3425851306133164e-13,6.711969942781356e-09,0.02527805201938615,0.0625
ILF,iShares Latin America 40 ETF,0.7932887902412293,8.142358315366138e-18,6.87743101383549e-18,3.474909482361479e-13,1.7658231454853696e-07,0.018340453576592093,0.0625
